COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Paris,M,Adam,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,341,332,344,356,353,318,301,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,10,0,0,0,11,0,0,0,0,0
Antibes,F,Emma,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,10,0,0,0,0,0
Paris,M,Gabriel,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,371,381,369,355,370,379,338,371,312,357,332
Antibes,M,Gabriel,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,12,0,0,0,0
Paris,M,Louis,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,301,0,0,0,0,0,0,0,0
Paris,F,Louise,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,307,346,310,0,0,0,0,0,0,0,0
Antibes,M,Lucas,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,10,0,0,0,0,0,0,0,0,0
Antibes,M,Mohamed,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,10,0,0,0,0,0,0,0,0,0,0
Paris,M,Raphaël,https://b1425524.smushcdn.com/1425524/wp-content/uploads/Creation-logo-paris.png?lossy=1&strip=1&webp=1,0,0,316,320,342,0,0,0,0,0,0
Antibes,M,Raphaël,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,0,0,0,10,0,0
Antibes,M,Rayan,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,10,0,0,0,0,0,0,0,0,0
Antibes,M,Tiago,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,0,0,0,0,0,10,0,0,0,0,0
