COMMUNE_NOM,ENFANT_SEXE,NOMBRE_OCCURRENCES,ENFANT_PRENOM,ANNEE
Paris,M,371,Gabriel,2012
Paris,F,307,Louise,2012
Paris,M,341,Adam,2012
Paris,M,332,Adam,2013
Paris,F,346,Louise,2013
Paris,M,381,Gabriel,2013
Paris,M,369,Gabriel,2014
Paris,F,310,Louise,2014
Paris,M,316,Raphaël,2014
Paris,M,344,Adam,2014
Paris,M,301,Louis,2014
Paris,M,355,Gabriel,2015
Paris,M,356,Adam,2015
Paris,M,320,Raphaël,2015
Paris,M,342,Raphaël,2016
Paris,M,353,Adam,2016
Paris,M,370,Gabriel,2016
Paris,M,318,Adam,2017
Paris,M,379,Gabriel,2017
Paris,M,301,Adam,2018
Paris,M,338,Gabriel,2018
Paris,M,371,Gabriel,2019
Paris,M,312,Gabriel,2020
Paris,M,357,Gabriel,2021
Paris,M,332,Gabriel,2022
